total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.6655,0.692,0.6373439594163005,0.6541044,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.6655,0.797,0.41105209785733965,0.42095703,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.6655,0.845,0.6087201659946332,0.6241345,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.6655,0.7805,0.6176453135440643,0.63236296,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.6655,0.8555,0.5941014678425366,0.60875803,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,0.6655,0.315,0.22293418110051053,0.21913312,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.6655,0.346,0.12115283841589486,0.12423646,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.6655,0.4015,0.2424568630141058,0.24888383,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.6655,0.4415,0.2265677590202953,0.23752628,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.6655,0.47,0.2298554991389237,0.24244855,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.6655,0.5625,0.1689686651798308,0.16901575,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.6655,0.6335,0.20712253200091002,0.24275152,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.6655,0.53,0.27387096452376525,0.30703524,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.6655,0.6315,0.22523693192879132,0.26015976,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.6655,0.6825,0.28152245158305844,0.31888187,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.6655,0.603,0.2051746955089302,0.25356016,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.6655,0.652,0.23134941145547286,0.27855518,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.6655,0.7015,0.24115903527239987,0.29161727,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.6655,0.6895,0.17114059159805037,0.20747153,cifar100(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.6655,0.591,0.18494059652836115,0.22280927,cifar100(0)
