total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.0,0.0245,0.5238211202728231,0.66982305,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.0,0.0245,0.5238211202728231,0.66982305,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.0,0.0245,0.5238211202728231,0.66982305,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.06791044776119402,0.0708955223880597,0.5238211202728231,0.66982305,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.8475,0.8945,0.5252306089243256,0.6716534,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/32,DEFAULT,0.8475,0.8835,0.10723651385086622,0.2172469,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-B/16,DEFAULT,0.8475,0.9025,0.060796799831685566,0.17402373,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,clip,ViT-L/14,DEFAULT,0.8475,0.9345,0.025204303912792953,0.13830765,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.8475,0.9185,0.16094433074558231,0.29107308,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.8475,0.909,0.04805676562263241,0.19051367,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.8475,0.9375,-0.014659146489187133,0.13555314,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.8475,0.819,0.26996809067479793,0.36629736,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.8475,0.876,0.2549227421428777,0.3741246,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.8475,0.9065,0.2675936255573476,0.39705998,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.8475,0.9125,0.3097871510207602,0.40799445,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.8475,0.8885,0.33270124113832017,0.52040756,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.8475,0.947,0.33757677430492583,0.5293877,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.8475,0.8895,0.3491662697779939,0.53200936,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.8475,0.9255,-0.02525854001722821,0.34635216,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.8475,0.95,0.06657493859469459,0.40011144,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.8475,0.9155,0.045012706273053454,0.40077075,ILSVRC-imagenet-1k(0)
2000,1000,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.8475,0.9585,0.03553010197109794,0.36478195,ILSVRC-imagenet-1k(0)
