total_images,num_classes,fst_model_source,first_model,fst_weights,snd_model_source,second_model,snd_weights,first_model_accuracy,second_model_accuracy,spearman,pearson,dataset
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-B/16,DEFAULT,0.868,0.9055,0.836269557433173,0.865905,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,clip,ViT-L/14,DEFAULT,0.868,0.9375,0.6872186438915918,0.7337442,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-32-256,DEFAULT,0.868,0.915,0.6042285354984315,0.67250353,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-B-16,DEFAULT,0.868,0.9185,0.663736510390147,0.7278314,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,open_clip,ViT-L-14,DEFAULT,0.868,0.9375,0.6256704727603063,0.6869771,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitb16-pretrain-lvd1689m,DEFAULT,0.868,0.8415,0.2129822735642833,0.3195628,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,huggingface,facebook/dinov3-vitl16-pretrain-lvd1689m,DEFAULT,0.868,0.926,0.20827943506531552,0.3365896,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet18,IMAGENET1K_V1,0.868,0.7655,0.1804205455178149,0.26653573,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet50,IMAGENET1K_V1,0.868,0.8585,0.17815174084032395,0.2737138,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,resnet152,IMAGENET1K_V1,0.868,0.8855,0.17803375142247607,0.28044382,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V1,0.868,0.9195,0.1379758969199015,0.21789111,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_V2,0.868,0.9785,0.09156703458982601,0.27725935,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_16gf,IMAGENET1K_SWAG_E2E_V1,0.868,0.9325,0.2010078443344609,0.35249177,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,regnet_y_32gf,IMAGENET1K_V2,0.868,0.973,0.11633939198406353,0.29441947,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_V1,0.868,0.9625,0.07593189769596712,0.2545215,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_b_16,IMAGENET1K_SWAG_E2E_V1,0.868,0.9435,0.1715956532230445,0.31905228,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_l_16,IMAGENET1K_V1,0.868,0.987,0.045267574464771164,0.24745166,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,vit_h_14,IMAGENET1K_SWAG_E2E_V1,0.868,0.9475,0.2801909359503672,0.3840682,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,maxvit_t,IMAGENET1K_V1,0.868,0.9855,0.10622690327811422,0.1848594,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_tiny,IMAGENET1K_V1,0.868,0.9505,0.09878933183069494,0.1737268,timm-mini-imagenet(0)
2000,100,clip,ViT-B/32,DEFAULT,torchvision,convnext_base,IMAGENET1K_V1,0.868,0.9825,0.14173791571085695,0.1863286,timm-mini-imagenet(0)
